id,cellwarp_name,cellmarker_markers_top3,organ_system,ts_cell_count,tms_cell_count,macaque_compatibility,data_source,priority_tier,notes
1,B cell,"CD19, MS4A1, CD79A",immune,114495,36349,CONFIRMED,Current ontology,RETAIN,Core type. NHPCA: 23718 cells.
2,"CD4-positive, alpha-beta T cell","CD4, CD3E, IL7R",immune,97130,1721,CONFIRMED,Current ontology,RETAIN,Core type. NHPCA: 13447 cells.
3,"CD8-positive, alpha-beta T cell","CD8A, CD8B, GZMB",immune,76277,1940,CONFIRMED,Current ontology,RETAIN,Core type. Most rigid (rank 35). NHPCA: 5227.
4,T cell,"CD3E, CD3D, TRAC",immune,6290,12745,CONFIRMED,Current ontology,RETAIN,Catch-all T cell label. Known annotation ambiguity — includes unresolved CD4/CD8.
5,natural killer cell,"NKG7, GNLY, KLRD1",immune,14231,3362,CONFIRMED,Current ontology,RETAIN,NHPCA: 1176 cells.
6,mature NK T cell,"CD3E, NKG7, KLRB1",immune,5394,3161,CONFIRMED,Current ontology,RETAIN,Mammalian specialization. Absent in zebrafish.
7,macrophage,"CD68, CD163, MARCO",immune,69072,9631,CONFIRMED,Current ontology,RETAIN,Core type. NHPCA: 14227 cells.
8,classical monocyte,"CD14, S100A8, FCN1",immune,18200,8124,ABSENT_NHPCA,Current ontology,RETAIN,NHPCA annotates as generic monocyte. Annotation resolution gap.
9,intermediate monocyte,"CD14, FCGR3A, HLA-DRA",immune,5478,1761,ABSENT_NHPCA,Current ontology,RETAIN,NHPCA annotation gap. Mammalian subtype.
10,non-classical monocyte,"FCGR3A, CX3CR1, MS4A7",immune,1284,1159,ABSENT_NHPCA,Current ontology,RETAIN,NHPCA annotation gap. Mammalian subtype.
11,monocyte,"CD14, LYZ, S100A9",immune,25753,3674,CONFIRMED,Current ontology,RETAIN,Generic monocyte label. Overlaps with subtypes.
12,myeloid dendritic cell,"HLA-DRA, ITGAX, CD1C",immune,571,618,CONFIRMED,Current ontology,RETAIN,Borderline cell counts (571/618). NHPCA: 5397.
13,myeloid leukocyte,"LYZ, S100A8, S100A9",immune,1002,516,ABSENT_NHPCA,Current ontology,RETAIN,Generic catch-all label. Annotation ambiguity risk.
14,neutrophil,"FCGR3B, CSF3R, CXCR2",immune,69539,705,CONFIRMED,Current ontology,RETAIN,Mouse count borderline (705).
15,granulocyte,"LYZ, S100A8, S100A9",immune,769,15562,CONFIRMED,Current ontology,RETAIN,Generic label overlapping with neutrophil/basophil/eosinophil.
16,plasma cell,"SDC1, MZB1, JCHAIN",immune,27349,1646,CONFIRMED,Current ontology,RETAIN,NHPCA: 5533 cells.
17,regulatory T cell,"FOXP3, IL2RA, CTLA4",immune,2649,170,LIKELY,Census mouse pooling,HIGH,TS: 2649 (PASS). TMS: 170 (FAIL). Census mouse datasets (e.g. spleen/lymph node) likely boost past 500. Key for autoimmune disease axis.
18,mast cell,"KIT, TPSAB1, CPA3",immune,6222,76,LIKELY,Census mouse pooling,HIGH,TS: 6222 (PASS). TMS: 76 (FAIL). Census mouse skin/lung datasets needed. Disease-relevant (allergy/asthma).
19,basophil,"CLC, IL4, GATA2",immune,1669,325,LIKELY,Census mouse pooling,MEDIUM,Near-miss in both. Rare granulocyte. Lower priority.
20,plasmacytoid dendritic cell,"LILRA4, IRF7, IL3RA",immune,99,122,LIKELY,Census pooling both,MEDIUM,Both under 500 in Tabula. Census pooling of blood/spleen datasets needed. Key antiviral immune type.
21,epithelial cell,"EPCAM, KRT8, KRT18",epithelial,1675,764,CONFIRMED,Current ontology,RETAIN,Generic catch-all. Annotation ambiguity.
22,basal cell,"KRT5, KRT14, TP63",epithelial,33526,3726,CONFIRMED,Current ontology,RETAIN,Progenitor capacity in skin/airway/prostate.
23,luminal epithelial cell of mammary gland,"KRT18, KRT8, EPCAM",epithelial,15432,2671,ABSENT_NHPCA,Current ontology,RETAIN,Mammalian-specific. Absent in zebrafish. Cancer-relevant (breast).
24,large intestine goblet cell,"MUC2, TFF3, FCGBP",epithelial,1557,1745,ABSENT_NHPCA,Current ontology,RETAIN,GI secretory type. Absent in zebrafish (no large intestine).
25,enterocyte of epithelium of large intestine,"FABP1, ANPEP, SLC26A3",epithelial,4567,3667,CONFIRMED,Current ontology,RETAIN,GI absorptive type.
26,bladder urothelial cell,"UPK2, UPK1A, KRT20",epithelial,27241,6651,CONFIRMED,Current ontology,RETAIN,Absent in zebrafish. Cancer-relevant (bladder cancer).
27,pancreatic ductal cell,"KRT19, SOX9, CFTR",epithelial,2721,651,CONFIRMED,Current ontology,RETAIN,Mouse count borderline (651). Cancer-relevant (PDAC).
28,pulmonary alveolar type 2 cell,"SFTPC, SFTPB, ABCA3",epithelial,11594,292,LIKELY,Census mouse lung pooling,HIGH,TS abundant (11594). TMS near-miss (292). Census mouse lung datasets needed. COVID-relevant. Stem cell function in lung.
29,keratinocyte,"KRT14, KRT5, KRT10",epithelial,est_10000,est_5000,LIKELY,Census query needed,HIGH,Abundant in skin datasets. Not in current Tabula query. Melanoma microenvironment.
30,ciliated epithelial cell,"FOXJ1, DNAH5, RSPH1",epithelial,est_5000,est_2000,LIKELY,Census query needed,HIGH,Airway/respiratory. Both species have lung/trachea datasets. Primary ciliary dyskinesia relevant.
31,proximal tubule epithelial cell,"SLC34A1, LRP2, CUBN",epithelial,est_5000,est_2000,LIKELY,Census query needed,HIGH,Kidney. Both species have kidney datasets in Census. Renal disease relevant.
32,Paneth cell,"DEFA5, LYZ, REG3A",epithelial,est_500,est_500,LIKELY,Census query needed,MEDIUM,Small intestine innate immune. May be borderline in both species. Crohn's disease relevant.
33,club cell,"SCGB1A1, SCGB3A2, CYP2F1",epithelial,1747,37,UNCERTAIN,Census mouse pooling,MEDIUM,TS: 1747 (PASS). TMS: 37 (FAIL). Mouse club cells are abundant but poorly captured in TMS. Census mouse lung needed.
34,podocyte,"NPHS1, NPHS2, WT1",epithelial,est_1000,est_500,LIKELY,Census query needed,MEDIUM,Kidney glomerular. Critical for nephrotic syndrome. May be borderline.
35,type I pneumocyte,"AGER, HOPX, PDPN",epithelial,3116,4,LIKELY,Census mouse lung pooling,LOW,TS: 3116 (PASS). TMS: 4 (FAIL). Extremely rare in mouse scRNA-seq — fragile cells lost in dissociation. May not be achievable even with Census.
36,stromal cell,"PDGFRA, COL1A1, DCN",structural,3458,3123,CONFIRMED,Current ontology,RETAIN,Most flexible type (rank 1). Generic label.
37,fibroblast,"COL1A1, DCN, LUM",structural,83338,3143,CONFIRMED,Current ontology,RETAIN,Large population across tissues.
38,fibroblast of cardiac tissue,"COL1A1, DCN, DDR2",structural,1947,6335,ABSENT_NHPCA,Current ontology,RETAIN,Tissue-specific fibroblast.
39,adventitial cell,"PDGFRA, DCN, MFAP5",structural,1045,815,CONFIRMED,Current ontology,RETAIN,Perivascular.
40,smooth muscle cell,"ACTA2, MYH11, TAGLN",structural,18425,1704,CONFIRMED,Current ontology,RETAIN,Multiple vascular/visceral tissues.
41,pericyte,"PDGFRB, RGS5, ABCC9",structural,10888,99,LIKELY,Census mouse pooling,HIGH,TS: 10888 (PASS). TMS: 99 (FAIL). Census mouse pooling needed. Vascular support. Neurovascular unit component.
42,myofibroblast,"ACTA2, COL1A1, TAGLN",structural,est_2000,est_1000,LIKELY,Census query needed,MEDIUM,Activated fibroblast. May overlap with fibroblast annotation. Fibrosis-relevant.
43,adipocyte,"ADIPOQ, LEP, PPARG",structural,est_1000,est_1000,LIKELY,Census query needed,MEDIUM,Metabolic/structural. Obesity-relevant. May be lost in standard dissociation.
44,osteoblast,"BGLAP, RUNX2, SP7",structural,est_500,est_500,LIKELY,Census query needed,LOW,Bone-forming. May be rare in standard scRNA-seq. Osteoporosis-relevant.
45,satellite cell,"PAX7, MYF5, MYOD1",structural,est_500,est_500,LIKELY,Census query needed,LOW,Skeletal muscle stem cell. Present in muscle tissue datasets.
46,mesothelial cell,"MSLN, WT1, UPK3B",structural,est_1000,est_500,LIKELY,Census query needed,MEDIUM,Serosal lining. Present in lung/heart/peritoneal datasets.
47,chondrocyte,"COL2A1, ACAN, SOX9",structural,est_500,est_500,LIKELY,Census query needed,LOW,Cartilage. May be rare. Osteoarthritis-relevant.
48,oligodendrocyte,"MBP, PLP1, MOG",neural,est_5000,est_5000,CONFIRMED,Allen Brain + Census,HIGH,Major CNS glial type. Allen Brain has human and macaque data. TS has no brain — requires supplementary atlas.
49,astrocyte,"GFAP, AQP4, S100B",neural,est_5000,est_5000,CONFIRMED,Allen Brain + Census,HIGH,Major CNS glial type. Neurodegenerative disease-relevant (Alzheimer's). Allen Brain coverage.
